hizo machte
negocio geschäft
signo zeichen
críticos kritikern
hong hong
servido gedient
estrellas sterne
pobreza armut
podrán dürfen
dragon dragon
químicas chemische
earl earl
regiones regionen
introducción einführung
alexis alexis
lorena lothringen
obra werkes
christian christian
soluciones lösungen
toni toni
autoridad autorität
ivan ivan
change change
sam sam
alcanza erreicht
poetisa dichterin
señor herr
adquirir erwerben
atari atari
michele michele
jenny lisa
puertas türen
británicos briten
viviendas wohnungen
my my
ojos augen
elevaciones erhebungen
palace palace
lengua sprache
disciplina disziplin
gene gene
english english
│ #####
atlanta atlanta
socialista sozialistischen
jackie jackie
curtis curtis
clínicas kliniken
restaurante restaurant
junior junior
planetas planeten
alemania deutschlands
reina königin
particularidad besonderheit
lewis lewis
mejora verbesserung
módulo modul
lot lot
consecuencias konsequenzen
profesor professor
unam eth
galardón auszeichnung
peruana bayerischen
carga ladung
restauración restauration
diagnóstico diagnose
artistas künstlern
inscripción inschrift
prosperidad wohlstand
compite startet
retablo hochaltar
regresaron kehrten
second second
linux linux
escribió schrieb
perfil profil
respectivamente beziehungsweise
asesino mörder
catherine catherine
punk punk
infarto herzinfarkt
ellen ellen
conexión anbindung
perdieron verloren
enemigo feind
mujer frau
estrechos engen
ejes achsen
siguieron folgten
colegiata stiftskirche
criticado kritisiert
judíos juden
eje achse
técnicamente technisch
sul sul
historias geschichten
guionista drehbuchautor
ajedrez schach
freud freud
ampliación erweiterung
dr dr
escuela schule
tropa truppe
divisiones abteilungen
review review
clubes klubs
other other
rechazo ablehnung
entorno umfeld
referencias referenzen
burdeos bordeaux
parlamentaria parlamentarischen
romper brechen
reducido reduziert
night night
cup cup
watch watch
observaciones beobachtungen
colin colin
figuras figuren
desierto wüste
farmacia apotheke
marc marc
tabla tabelle
convención konvention
supongo übrigens
senegal senegal
clanes clans
jalisco aargau
anual jährliche
reacciones reaktionen
janeiro janeiro
géneros gattungen
embarcó begab
hidrógeno wasserstoff
tomando darauf
value value
alessandro alessandro
homosexualidad homosexualität
eva eva
órdenes befehl
leído gelesen
habitada bewohnt
sms sms
asuntos angelegenheiten
filtro filter
añaden fügt
episodio episode
cayeron fielen
infraestructura infrastruktur
association association
políticos politischen
madera holz
versalles versailles
biblioteca bibliothek
blu blu
kent kent
basilio nikolaus
inferior unteren
manchester manchester
práctico praktische
leslie leslie
ilustración illustration
centrales zentralen
evento event
cortas kürzere
población bevölkerung
delegación delegation
disponía verfügte
prefectura präfektur
malvado böse
belleza schönheit
religiosas religiöse
judía jüdischen
aspectos aspekten
coord hrsg
busca sucht
duras harte
rusa russischen
equivalente äquivalent
ciclismo radsport
centros zentren
existentes existierenden
residentes bewohnern
forman bilden
auckland auckland
hardware hardware
repetición wiederholung
material material
serpiente schlange
hamilton hamilton
howard howard
carter carter
wikipedias wikipedias
autor verfasser
acontecimientos ereignissen
curso kurs
bang bang
concursos wettbewerben
antártida antarktis
mensaje nachricht
ranking ranking
mars mars
formas formen
mayormente überwiegend
combates kämpfe
logros leistungen
propagación ausbreitung
olympique olympique
munición munition
champions champions
padre vater
techo decke
tradujo übersetzte
court court
riesgos risiken
pérdidas verluste
ali ali
abolición abschaffung
grupo gruppe
conquistado erobert
sirven dienen
duncan duncan
visuales visuelle
yu yu
platino platin
tempo tempo
rené rené
pierna bein
episodios episoden
detalles details
atraviesa verläuft
permiten erlauben
presente präsent
piel haut
administrador administrator
ofrece bietet
google google
their their
profundidad tiefe
mencionar erwähnen
youth youth
causado verursacht
oh oh
mantuvo hielt
reforma reform
guitarras gitarren
túnel tunnel
hard hard
homero homer
venus venus
municipalidad stadtgemeinde
elevados niedrigen
nd nd
ficticia fiktiven
compromiso engagement
reseña rezension
catedral kathedrale
maine maine
habla spricht
física physik
ad ad
explicación erklärung
economic economic
pianista pianist
combinaciones kombinationen
os os
formado gebildet
científica wissenschaftlichen
trae bringt
tokio tokio
geográficas geografische
free free
drive drive
atlético fsv
botella flasche
cines kinos
indian indian
park park
comparte teilt
wars wars
narra schildert
life life
allan allan
temprano spät
vivo live
murray murray
arqueología archäologie
movimiento bewegung
spring spring
birmingham birmingham
inmediata sofortige
variación variation
secret secret
florence florence
cambios veränderungen
añadir hinzufügen
teología theologie
news news
kw kw
record record
darwin darwin
clásicas klassische
fuertemente stark
helena helena
catálogo katalog
carece aufweist
pudieron konnten
objetivos zielen
hay gibt
mexicano schweizer
duros harten
montgomery montgomery
dispuestas angeordnet
riesgo risiko
denver denver
imágenes bilder
tumbas gräber
ilustraciones illustrationen
z y
concierto konzert
yang yang
ejemplares exemplaren
canadiense kanadische
miembro mitglied
aparición auftritt
she she
pintora malerin
fotografías fotografien
radiales überregionalen
monos affen
kenneth kenneth
cuadrado quadrat
licencias lizenzen
descripción beschreibung
guitarristas gitarristen
desconocidos unbekannten
suelos böden
asiática asiatischen
charlotte charlotte
enlazar verlinken
adicionales zusätzlichen
dans une
here here
vivir verbringen
abraham abraham
irish irish
mejoró verbesserte
caliza kalkstein
unit unit
massachusetts massachusetts
eurovisión eurovision
deben müssen
k k
temperatura temperatur
caballos pferden
depósito depot
película kinofilm
rápidamente rasch
jim terry
pies füßen
anime anime
hannover hannover
tenor tenor
enfrente gegenüberliegenden
proporciona liefert
madrid wien
hits hits
ahora nun
cargos ämtern
coronación krönung
portal portal
antepasados vorfahren
arms arms
glasgow glasgow
norteamérica nordamerika
xi xi
viii viii
conservadores konservativen
oliver oliver
ciclo zyklus
calma ruhe
ataque angriff
excavaciones grabungen
susan susan
german german
escándalo skandal
organizar organisieren
fecha_descubrimiento nmupdate
declararon erklärten
polvo staub
vampire vampire
reacción reaktion
valió einbrachte
cuñado schwager
vacía leere
veinte zwanzig
decorada verziert
enteros ganzer
discos schallplatten
comprobar überprüfen
largo lang
excepción ausnahme
abuelo großvater
discusiones diskussionen
cascada wasserfall
investigaciones forschungen
manifestantes demonstranten
servicio dienst
cárcel gefängnis
observado beobachtet
european european
crecimiento wachstum
reinado regierungszeit
kosovo kosovo
similitudes ähnlichkeiten
medieval mittelalterliche
dejado hinterlassen
xxx xxx
pistola pistole
fórmulas formeln
florencia florenz
estrecha enge
sendero wanderweg
discovery discovery
sky sky
popularidad popularität
recomendación empfehlung
pedagogía pädagogik
hills hills
en in
rompe bricht
clásicos klassischen
elevado hohe
salvador salvador
delgado rau
place place
duró dauerte
front front
fiat fiat
that that
expectativas erwartungen
ecología ökologie
tampoco weder
subgénero genre
rojo rote
jesus jesus
gordon gordon
terminal terminal
algo etwas
law law
secuestro entführung
chemical chemical
stories stories
on on
función funktion
superar überwinden
temática thematik
murallas mauern
discapacidad behinderung
lugares orten
segunda zweiten
colina hügel
norton norton
sts sts
legislación gesetzgebung
jay jay
abad abt
publishers publishers
brevemente kurzzeitig
actualizado aktualisiert
motores motoren
goethe goethe
ginebra genf
portugués portugiesisch
tiempos zeiten
cónsul konsul
or or
determinado bestimmtes
concert concert
repertorio repertoire
probado getestet
guitarrista gitarrist
ola welle
fotógrafo fotograf
franceses franzosen
límites grenzen
crimea krim
opinión meinung
arquitectos architekten
reemplazo ersatz
cold cold
regreso rückkehr
cubierto bedeckt
delhi delhi
lector leser
familia familie
católica katholischen
project project
val val
benny benny
fa fa
hola hallo
determinadas bestimmte
ji ji
asia asien
amistoso freundschaftsspiel
existen existieren
africa africa
correr laufen
ella sie
ensayo essay
chris greg
nunca nie
ganas spaß
cooper cooper
diablo teufel
detrás hinter
iraní iranischen
llegada ankunft
actuales heutigen
frente gegenüber
competencias kompetenzen
rápidos schnellen
augusta augusta
esperanza hoffnung
mm mm
academy academy
preparado vorbereitet
nacer geburt
nigeria nigeria
descubridor entdecker
folk folk
alianza allianz
continuado fortgeführt
esa dieser
delta delta
masacre massaker
escape gang
copias kopien
sugerido angenommen
cáucaso kaukasus
pensamiento denken
vivían lebten
date date
jeffrey jeffrey
great great
normativa richtlinie
p p
señales signale
productores produzenten
corrientes strömungen
dedicó widmete
vio geriet
gaspar johann
seguidos gefolgt
podría könnte
clima klima
round round
adventure adventure
disputas streitigkeiten
guitarra gitarre
α α
rodeada umgeben
incluyendo darunter
después nachdem
nora nora
acompañó begleitete
school school
kenia kenia
respectivo jeweilige
ernst otto
melodías melodien
declaró erklärte
encontraban befanden
radar radar
crecen wachsen
ciencias wissenschaften
descubrir entdecken
perspectivas perspektiven
descubrió entdeckte
nuestro unser
agregar eintragen
casos fällen
lago sees
asume übernimmt
difunto verstorbenen
fame fame
sindicato gewerkschaft
nombrar benennen
océano ozean
propuestas vorschläge
inspirado inspiriert
left left
pintor maler
disponible verfügbar
federico friedrich
ruptura bruch
christina christina
superficie wasserfläche
crazy crazy
discusión diskussion
condena verurteilung
húngaro ungarischer
polaca polnische
https https
utilización verwendung
rhode rhode
chuck chuck
track track
colaboración zusammenarbeit
fortalecer stärken
triángulo dreieck
discriminación diskriminierung
? ?
origina entsteht
milano milano
crece wächst
cu cu
economista wirtschaftswissenschaftler
buscado gesucht
girls girls
weimar weimarer
masculina männliche
instituciones institutionen
hanna hanna
pacientes patienten
sexual sexuelle
libia libyen
daño schaden
barcos schiffen
calcular berechnen
pánico panik
hectáreas hektar
alberga beherbergt
geographic geographic
ventajas vorteile
ep ep
points points
afirman zufolge
acá woanders
and and
checo tschechischer
situación situation
bandera flagge
warner warner
bond bond
\\ \\
entregó übergab
patio innenhof
aprende lernt
wu wu
gustav gustav
hermano bruder
lucy lucy
steven steven
congregación kongregation
harper harper
modelos modellen
reformas reformen
concretos konkreten
laborista labour
damasco damaskus
clientes kunden
legión legion
residencia wohnsitz
aliadas alliierten
producir produzieren
ms ms
gb gb
existió existierte
voluntariamente freiwillig
instancia instanz
cómo vieles
ronald ronald
phillips phillips
gato katze
piura mittelfranken
paralelamente parallel
editado herausgegeben
encuesta umfrage
nuestras unsere
cracovia krakau
speed speed
marcado gekennzeichnet
muy sehr
egipcia ägyptischen
obvio zutreffend
lee lee
constancia zeugt
ngc ngc
expansión expansion
il il
corrió fuhr
energía energie
fortaleza festung
essex essex
afueras stadtrand
variables variablen
atletas athleten
marina marine
longitud länge
notoriedad bekanntheit
eye eye
cd cd
esquina ecke
madrileños düsseldorfer
mo mo
ofrecer anzubieten
estudiar studieren
pintó malte
realizado durchgeführt
pasaje passage
derrotó besiegte
ki ki
propósito zweck
su seine
oregon oregon
norma norm
fi fi
fisher fisher
irving irving
compositores komponisten
agua wasser
verde grün
sinfonía sinfonie
electric electric
malas schlechte
canadá kanada
dueño besitzer
ausencia abwesenheit
olvidado vergessen
jerusalén jerusalem
, ,
led led
carolina carolina
gobernó regierte
ph ph
afganistán afghanistan
escrito geschrieben
siempre stets
ocean ocean
obispo bischof
comunismo kommunismus
fenómeno phänomen
doce zwölf
ley gesetz
mass mass
máscara maske
amenaza bedrohung
suficientemente hinreichend
originales originalen
let let
ta ta
motivó veranlasste
índice index
métodos methoden
estadísticas statistiken
introducido eingeführt
& &
dos zwei
terra terra
compositora musikerin
tropicales tropischen
restaurantes restaurants
terminar beenden
vice vice
encontrado gefunden
ecológico ökologische
coro chor
electrónicos elektronischen
horror horror
fox fox
cantante sängerin
fundada gegründet
sobrevivientes überlebenden
px px
vida leben
directa direkte
armas waffen
procesamiento verarbeitung
libres freien
maps maps
válida angabe
definitiva endgültige
history history
individuos individuen
cinema cinema
racismo rassismus
internacional internationale
aniversario jubiläum
tenista tennisspieler
culturales kulturellen
dave rob
televisión fernseh
apoyar unterstützen
problemas problemen
trabajó arbeitete
muestran zeigen
diseñado entworfen
romano römische
liechtenstein liechtenstein
jardín garten
ce ce
fischer beyer
baterías batterien
primavera frühling
brooklyn brooklyn
escenas szenen
declara erklärt
fría kalten
como als
elige wählt
bowl bowl
decreto erlass
limita grenzt
ain ain
kilómetros kilometer
firmada unterschrift
ecuación gleichung
avenue avenue
participantes teilnehmenden
extensas ausgedehnte
algunas einige
estándares standards
fusión fusion
cum cum
capacitación weiterbildung
completa vollständige
siete sieben
félix hugo
spirit spirit
espada schwert
joe joe
autores autoren
wings wings
ucrania ukraine
llamas flammen
sacado genommen
cpu cpu
humboldt humboldt
estación station
wall wall
partes teile
diseñador designer
thomson thomson
ll ll
agricultura landwirtschaft
yolanda jutta
nació geboren
protegido geschützt
taller werkstatt
pionero pionier
milita fußballverein
activamente aktiv
bohemia böhmen
ejército armee
voluntad willen
sólo nur
habana havanna
norteamericana amerikanischen
bobby bobby
limpieza reinigung
llave schlüssel
dell dell
sirve dient
bizantina byzantinischen
aplicar anwenden
dreams dreams
todo ganze
sudáfrica südafrika
danubio donau
pensado gedacht
jo jo
but but
portland portland
ka ka
impreso gedruckt
saudita saudi
have have
vendido verkauft
estable stabile
materiales materialien
basketball basketball
realidad wirklichkeit
ben ben
vive lebt
% %
cielo himmel
intereses interessen
candidatos kandidaten
récord rekord
which which
rogers rogers
tecnología technologie
eléctrica elektrische
maria maria
policía polizei
hubo gab
catalogado eingestuft
ku ku
mentor mentor
sueño traum
varios mehreren
aldeas dörfer
entrada eingang
catholic catholic
sciences sciences
diplomáticas diplomatische
prefieren bevorzugen
chilena österreichischen
concentra konzentriert
sic sic
austin austin
abdul abdul
cierta gewisse
entender verstehen
rama zweig
república republik
consecutivas dreimal
saboya savoyen
¿por warum
natural natürliche
republicano republikanische
filósofo philosoph
star star
web webseite
eres bist
reino königreich
incluye beinhaltet
concilio konzil
tennessee tennessee
registra verzeichnet
ediciones auflagen
abrir eröffnen
herramientas werkzeuge
love love
europea europäischen
wikimedia wikimedia
ice ice
aparecen stehen
además außerdem
libras pfund
corazón herzen
moscú moskau
folclórica volksmusik
responsabilidad verantwortung
personalidades persönlichkeiten
publicidad werbung
superiores höheren
consiguieron gelang
plataformas plattformen
hughes hughes
escritor schriftsteller
pesa wiegt
stanford stanford
sabiduría weisheit
suficiente ausreichende
palacio palast
me sorry
duke duke
kingston kingston
chi chi
circo zirkus
bruja hexe
puramente rein
europe europe
libre freie
financiar finanzieren
ganadores gewinner
lugarnac poly
pienso denke
transmitido ausgestrahlt
cual somit
columbus columbus
retirado zurückgezogen
kentucky nebraska
council council
presentador moderator
belle belle
embajada botschaft
realizar durchführen
christmas christmas
> →
primeramente zunächst
siglo jahrhunderts
área gebiet
vladímir wladimir
principado fürstentums
necesaria notwendige
against against
cincinnati cincinnati
cf cf
cleveland cleveland
esquema schema
org org
contribuir beitragen
viejos alten
montón paar
high high
llenar füllen
técnica technik
adoptado durchgesetzt
productions productions
premier premier
radiación strahlung
temporalmente vorübergehend
prof prof
públicamente öffentlich
centre centre
colega kollege
conflicto konflikt
deficiencia mangel
probabilidad wahrscheinlichkeit
trono thron
exacta genaue
cook cook
medir messen
comisario kommissar
artista künstler
train train
estadios stadien
supuestamente angeblich
percy percy
modern modern
karate karate
andrea andrea
lleno voller
atlantic atlantic
interesante interessant
back back
castillo burg
enterprise enterprise
juego spiels
w w
consideradas gelten
tensiones spannungen
ratón maus
públicos öffentlichen
él selbst
sus ihre
fish fish
mármol marmor
puente brücke
mecánica mechanik
th th
incorporación wechsel
escisión spaltung
económica wirtschaftliche
bonus bonus
geográficos geographischen
mencionados erwähnten
disponibles verfügbaren
amplio breites
literarios literarischen
etc usw
generalmente meist
dólares dollar
four four
blanc blanc
roger roger
bridge bridge
rescate rettung
compuso komponierte
enfrentamientos auseinandersetzungen
prusia preußen
call call
situado gelegene
performance performance
andré andré
terapia therapie
óblast oblast
palma palma
tratar behandeln
siglos jahrhunderte
extranjero ausland
secretario sekretär
adultos erwachsenen
creación schaffung
tamaño größe
presentadora moderatorin
zacatecas solothurn
mount mount
ascendió stieg
trabajos arbeiten
arqueólogos archäologen
camp camp
peace peace
experiencia erfahrung
afirmación behauptung
clinton clinton
observación beobachtung
sexuales sexuellen
capa schicht
bretaña großbritannien
borde rand
definiciones definitionen
altar altar
crisis krise
equivale entspricht
albania albanien
identidad identität
películas filme
marshall marshall
disolución auflösung
cuándo wann
veía sah
parecidos ähnlichen
votos stimmen
diferencian unterscheiden
repetir wiederholen
beta beta
arquitecto architekt
mill mill
haití haiti
correcciones korrekturen
licencia lizenz
flora flora
raquel esther
aumento zunahme
empleados angestellten
fundamentales grundlegenden
edith edith
origen herkunft
curva kurve
instrumento instrument
subespecie unterart
harold harold
campeonatos meisterschaften
código code
japonés japanische
cuerpo körper
dennis dennis
bayer bayer
cecilia ursula
crucial entscheidende
nadie niemand
emigró emigrierte
pol pol
generaciones generationen
equipos mannschaften
fino fein
japonesa japanischen
absoluta absolute
líbano libanon
tercio drittel
take take
objetivo ziel
logró schaffte
mónaco monaco
casa haus
hey hey
rocky rocky
clark clark
permanentemente dauerhaft
gris grau
gallery gallery
trama handlung
platense verbandsliga
richardson richardson
japón japan
contiene enthält
brasil brasilien
guitar guitar
aparece taucht
millas meilen
study study
pensamientos gedanken
rex rex
leon gil
y und
dirigir leiten
studio studio
home home
eagle eagle
fair fair
normas richtlinien
roche roche
hablar sprechen
botánica botanik
administrativo verwaltungs
representa repräsentiert
hojas blättern
organizó organisierte
combinación kombination
desea möchte
walk walk
donald donald
honor ehren
programa programm
pianistas pianisten
forest forest
bucarest bukarest
especies pflanzenarten
conspiración verschwörung
building building
next next
wwe wwe
protección schutz
supuesta angebliche
pasajes passagen
grecia griechenland
β β
view view
alguien irgendjemand
imponer durchzusetzen
mariposa schmetterling
inside inside
cumple erfüllt
legales rechtlichen
proyectos projekten
templo tempels
empezar anfangen
tang tang
ayudó half
tras erneuten
java java
estructuras strukturen
niño kind
brasileño brasilianischer
madagascar madagaskar
conservation conservation
tercero dritter
as as
sandra sandra
delitos straftaten
cero null
estadístico statistische
piratas piraten
memoria gedächtnis
nuevamente erneut
ganaron gewannen
firmó unterzeichnete
berry berry
noruega norwegen
emilia emilia
demolición abriss
carne fleisch
electronic electronic
noche nacht
clarinete klarinette
presentado vorgestellt
hermana schwester
y/o und/oder
canciones songs
breve kurze
communes communes
reglas regeln
génova genua
sometidos unterworfen
old old
bombas bomben
cáliz kelch
cantado gesungen
gales wales
conquistar erobern
peligro gefahr
retratos porträts
miércoles donnerstag
restantes verbleibenden
áreas gebiete
forbes forbes
adrian adrian
túnez tunesien
roll roll
secundaria oberschule
involucrado involviert
caroline caroline
recuerdo erinnerung
núcleo kern
amerindios ureinwohnern
industrial industrielle
lenguas sprachen
france france
ford ford
apoyó unterstützte
estudios studien
divide unterteilt
popularmente volksmund
atp atp
trabajado gearbeitet
hugo arno
logran gelingt
apodo spitznamen
intentó versuchte
entrenador trainer
match match
drogas drogen
golden golden
deportes sport
med med
franja streifen
fragmento fragment
cantidad anzahl
beverly beverly
abc abc
temperaturas temperaturen
gun gun
extendía erstreckte
actores schauspielern
llegaba reichte
ubicadas standorte
militares militärischen
semiprotección halbsperre
groenlandia grönland
singles singles
colocado platziert
sustituyó ersetzte
kiss kiss
capitalismo kapitalismus
automática automatische
revuelta aufstand
reference reference
max max
batallas schlachten
calles straßen
comportamiento verhalten
filosofía philosophie
publicó veröffentlichte
monica monica
claras klare
intentando versucht
moverse bewegen
organizado organisiert
osvaldo helmuth
line line
( (
agosto juli
trabajador arbeitnehmer
especialmente insbesondere
publications publications
negro schwarze
//www //www
etnia ethnie
hope hope
class class
mario mario
geología geologie
republic republic
medición messung
observador beobachter
preferentemente vorzugsweise
relación beziehung
ocasionalmente gelegentlich
mezquita moschee
reconstrucción wiederaufbau
descritos beschriebenen
primero zuerst
mando kommando
exigir fordern
hubiera hätte
société société
cristo christus
olor geruch
normandía normandie
ricas reiche
algunos einigen
trajo brachte
arabia arabien
concebido konzipiert
describe beschreibt
encuentran befinden
libertad freiheit
proceden stammen
gusto geschmack
unesco unesco
angeles angeles
naturaleza natur
últimos letzten
faro leuchtturm
alejandro alexander
reforzar verstärken
mundo welt
variaciones variationen
autopistas autobahnen
suplemento beilage
nacimiento geburtsort
contemporáneo zeitgenössischer
auguste auguste
aplicaciones anwendungen
pekín peking
objetos objekten
italia italien
un ein
cerámica keramik
car car
finas feine
set set
temporada saison
sesiones sitzungen
populares beliebte
vie vie
oscar willy
lanka lanka
seúl seoul
men men
reseñas rezensionen
bailarín tänzer
anunció kündigte
holocausto holocaust
cobre kupfer
diplomáticos diplomaten
fusionó fusionierte
confianza vertrauen
resultados ergebnissen
orgullo stolz
chester chester
limited limited
duques herzöge
paquete paket
significar bedeuten
cantidades mengen
presbiterio kirchenschiff
hígado leber
nervios nerven
borgoña burgund
necesario notwendig
tan sonderlich
ballet ballett
mayoría mehrzahl
subcampeón vizemeister
la der
ruinas ruinen
económicamente wirtschaftlich
aceptar akzeptieren
ninguna keine
previos vorangegangenen
mayores größten
compró kaufte
amateur amateur
hacer machen
editorial verlags
foros foren
guerra krieg
millón million
minoría minderheit
mejor beste
georges georges
enseñanzas lehren
order order
confirmado bestätigt
báltico ostsee
ética ethik
height height
bc bc
elementos elementen
sin ohne
oposición opposition
bird bird
independencia unabhängigkeit
talento talent
mientras hingegen
matilde mathilde
proteger schützen
marsella marseille
parcialmente teilweise
gr gr
mhz mhz
días tagen
delantera hintere
china china
seattle seattle
× ×
seudónimo pseudonym
lloyd lloyd
personalmente persönlich
turismo tourismus
refiere bezieht
rock rock
turquía türkei
morir sterben
ferdinand ferdinand
bautizado getauft
tal solches
tardío späten
literalmente wörtlich
cartas briefe
dance dance
douglas douglas
decidir entscheiden
casino casino
palabras worte
álgebra algebra
áfrica afrika
asesinato mord
princesa prinzessin
sobrevivió überlebte
francesa französische
fórmula formel
jack jack
conseguido erzielt
consenso konsens
theatre theatre
gobernado regiert
integración integration
madonna madonna
inscripciones inschriften
finalmente schließlich
off off
ian ian
mafia mafia
loma anhöhe
rurales ländlichen
colonias kolonien
joyce joyce
walt walt
gobiernos regierungen
interesa interessiert
conocía kannte
negociaciones verhandlungen
economía wirtschaft
estadio stadion
hot hot
simpson simpson
astronomía astronomie
bella bella
soundtrack soundtrack
inc inc
direcciones adressen
verdad wahrheit
elegir wählen
producidos produzierten
actuar agieren
región region
llevaron führten
detallado detaillierte
erudito gelehrter
fuerza kräfte
compromisos verpflichtungen
julian julian
aviv aviv
ray ray
corregidor amtmann
convencer überzeugen
posteriormente später
versiones versionen
interacción interaktion
ancho breit
filósofos philosophen
demo demo
importancia bedeutung
éxodo vertreibung
heart heart
existe existiert
luego bevor
alumno schüler
tokyo tokyo
mismo gleichen
underground underground
unidas vereinten
canada canada
carol carol
práctica praxis
jacobo jakob
for for
traducción übersetzung
decidió entschloss
enfermedades krankheiten
nancy nancy
anualmente jährlich
trans trans
líquido flüssigkeit
argelia algerien
humorista kabarettist
alto hoher
camille camille
norfolk norfolk
nuevo neue
destrucción zerstörung
podrá darf
cool cool
miller miller
tierra erde
stop stop
ilustrador illustrator
lille lille
nacionalidad staatsangehörigkeit
irak irak
juan johannes
iglesias kirchen
eligió wählte
facción gruppierung
garcés falkenstein
dicho diesem
navy navy
nombró ernannte
road road
opcional optional
raíz wurzel
brothers brothers
mrs mrs
día tag
privado privat
se vor
diferente verschieden
separar trennen
castillos burgen
independientemente unabhängig
defendido verteidigt
mayo september
mix mix
galerías galerien
frecuencias frequenzen
plus plus
intercambio austausch
à à
el das
wells wells
hannah hannah
cientos tausende
wood wood
princeton princeton
group group
indonesia indonesien
habilidad fähigkeit
eugène eugène
muralla mauer
rocas gestein
lena lena
famoso berühmt
cambió änderte
lleva trägt
fundaciones stiftungen
modernos modernen
cambia ändert
david david
sociedades gesellschaften
ibm ibm
sienten fühlen
stone stone
master master
abandonar verlassen
sir sir
mes monat
diagrama diagramm
estricto streng
bandas bands
prohibido verboten
valores werten
viaja reist
amigo freund
fases phasen
carl carl
estaciones stationen
necesarios notwendigen
periodismo journalismus
lesiones verletzungen
jefe chef
com/watch com/watch
esfuerzos bemühungen
mayor größere
música musik
coalición koalition
explosión explosion
nature nature
activa aktive
debería müsste
escribe schreibt
hablado gesprochen
eligieron wählten
directamente direkt
puntas spitzen
solían durften
simboliza symbolisiert
mito mythos
split split
plataforma plattform
horacio gunter
ganar gewinnen
continuamente ständig
cautiverio gefangenschaft
cadáveres leichen
cerrados geschlossenen
comunistas kommunisten
texas texas
science science
mantenido gepflegt
challenge challenge
noruego norwegischer
nobles adligen
tradición tradition
manuel franz
¿ ~
cuáles welchen
problemática problematik
pertenece gehört
ordenó befahl
ok ok
desfile parade
university university
oeste westen
normalmente üblicherweise
recuerda erinnert
ferrari ferrari
papa papst
acontecimiento ereignis
australiana australischen
campbell campbell
blake blake
guy guy
elegido gewählt
gloria gloria
presupuesto budget
definitivamente endgültig
cuidar kümmern
quién selber
viola viola
bolas kugeln
flying flying
relevancia relevanz
tiende lässt
richmond richmond
ronda runde
mad mad
monte berges
aceleración beschleunigung
health health
símbolo symbol
capítulo kapitel
problema problem
permitía erlaubte
integró angehörte
antes erst
ix xiii
petróleo erdöl
autorización genehmigung
coronel oberst
reunirse treffen
forma form
planea plant
edition edition
calor wärme
sobre über
programado gestartet
detroit detroit
peruano bayerischer
expresado ausgedrückt
giras tourneen
dual systems
sale läuft
utilizó benutzte
wellington wellington
croata kroatische
destruido zerstört
rápido schnelle
periódicamente laufend
cosa sache
responder beantworten
white white
dvd dvd
electo kandidierte
rogelio günter
fundamentos grundlagen
oxígeno sauerstoff
recibió erhielt
corona krone
pasajeros passagiere
tiger tiger
fascismo faschismus
brigada brigade
locales lokalen
tower tower
oferta angebot
determinación bestimmung
pequeño kleine
administrado verwaltet
reelegido wiedergewählt
seed seed
considerarse anzusehen
medallas medaillen
mezclado gemischt
políticamente politisch
argumentos argumenten
grises grauen
saliendo nächsten
totalidad großteil
beethoven beethoven
propiamente engeren
gerardo norbert
death death
tecnologías technologien
dedicado gewidmet
ecuatoriana gütersloh
acto akt
noticias nachrichten
secas trockene
pictures pictures
elemento element
anton anton
€ €
edimburgo edinburgh
baltimore baltimore
trek trek
jamie jamie
amistad freundschaft
también auch
cuentas konten
mirar schauen
frutas früchten
edwin edwin
hood hood
occidental westlichen
creta kreta
enseña lehrt
petición aufforderung
redactar verfassen
bangkok bangkok
canadian canadian
policías polizisten
económicos wirtschaftlichen
raimundo alfons
chino chinesisch
récords rekorde
recibieron erhielten
games games
said said
suzuki suzuki
roles rollen
wave wave
deep deep
fieles gläubigen
red netz
exitosa erfolgreichen
extraña seltsame
basílica basilika
atmósfera atmosphäre
delle delle
age age
requerimientos anforderungen
crystal crystal
playstation playstation
oslo oslo
brecha lücke
sistemática systematische
actual heutige
vecina benachbarten
previamente worden
cárdenas baden
propiedades eigenschaften
today today
periódicos zeitungen
di di
glass glass
vieron gerieten
observar beobachten
newton newton
islas inseln
vista ansicht
construyó baute
ac ac
pues zumal
dawn dawn
piensa ausgeht
aprobado genehmigt
pudo konnte
myspace myspace
iniciaron begannen
cenizas asche
helsinki helsinki
program program
concluye schluss
michael michael
mortal tödliche
up up
flota flotte
special special
parejas paare
programas programmen
árabe arabischer
pearl pearl
nación nation
entregado vergeben
toulouse toulouse
xbox xbox
perú bayern
vender verkaufen
louise louise
accidentalmente versehentlich
sinónimo synonym
meyer meyer
seis sechs
alain alain
monarquía monarchie
palm palm
solicitar beantragen
cronología chronologie
generación generation
}} }}
entusiasmo begeisterung
usuarios nutzern
solucionar lösen
pequeños kleineren
diciembre dezember
dictadura diktatur
under under
papel rolle
torneos turnieren
mención erwähnung
garden garden
escena szene
recursos ressourcen
concepto konzept
químico chemiker
petersburgo petersburg
neutralidad neutralität
nevada nevada
emperatriz kaiserin
finalizado beendet
esperado erwartete
historical historical
shift shift
exige verlangt
organizaciones organisationen
adicional zusätzliche
henderson henderson
étnicos ethnischen
existían existierten
intentaron versuchten
mercury mercury
kim kim
reunieron trafen
fabricación herstellung
discográfico plattenlabel
suicidio suizid
seleccionados ausgewählten
rompiendo gebrochen
fabricados hergestellten
jason jason
empire empire
voto votum
hunter hunter
gp gp
